cid,uid,date
e7ba15bf-30f3-4539-acaf-e7220cdcd5fd,c6111515-5f43-49b5-b01b-dfd889adb888,2004-08-22
8d52d9db-9a3e-4864-9d23-77fe60df4e78,b9a871b6-10be-4100-a048-150292e92023,2017-12-19
678e8841-f5b4-4ae7-b23a-c0b2fc1a554e,f163cc37-9c84-4703-9e22-7c0e38e0f855,2023-05-19
85f7fcf2-c010-49c9-9a23-109b270af8ff,40f6b3ec-2f6c-4444-a585-1014bf6de212,2011-04-21
07820136-078e-46fe-b4ee-bc2f5011ffdc,ab826473-4c93-48aa-b473-ac599a6df05c,2013-05-27
8407e268-55a1-406a-a1f3-ee800f2c8fcd,68023a10-7140-4910-b19d-b2c9bf8b7f42,2005-06-18
07820136-078e-46fe-b4ee-bc2f5011ffdc,bd10f323-795a-43d9-91f0-776663ff5644,2013-06-16
05690061-1949-4939-adef-ee23dfddb640,5a3339a7-48d1-4ded-a492-0ebb47d8393c,2000-02-20
d1aa9279-55af-4023-ba77-2676c32a28b9,d6c87e21-cbab-40d8-9e1d-22cbcce60c97,1995-12-13
11284cc3-b602-4bd0-86ff-eeed987ba32d,be60eefa-21bd-4792-ab64-4ef880f36cb0,1998-05-30
55f0e5f6-7865-46b0-81e5-0096cde46c71,c4d5656c-235b-4f4e-903a-45ffced748d3,1999-09-23
6cf0ba77-2ddc-410d-9240-ffe179831b0b,1eaf790c-f2be-43cf-b30a-7405efed37a6,2003-04-09
c0d3aa9a-3128-4ff1-9e90-ec66e14a017f,4790193a-5b55-439e-8cd2-c5cbc0e5bf90,2013-04-26
e1da45ad-6184-4e50-be11-6d0074992b73,e7ff5c48-5d07-4a26-a05d-3e801faf50b3,2019-01-28
9dafdfa9-cfbc-4f22-8992-d9ab8ae61d38,fd52e51a-3717-4104-890f-2c8dae8890b7,2018-02-22
67650b29-27d4-473e-b672-bfb1cbd81cf3,3d98b844-a49c-4163-9bfa-3410164e3ef8,2023-05-06
678e8841-f5b4-4ae7-b23a-c0b2fc1a554e,8f08a077-42a3-4a3a-b324-fe02012b3942,2024-01-24
678e8841-f5b4-4ae7-b23a-c0b2fc1a554e,9baaa29e-67e2-4736-ad88-10aa4fc8c951,2010-06-23
11284cc3-b602-4bd0-86ff-eeed987ba32d,06bf2419-c8d5-4434-af31-8cdbb9d9c2b5,1995-06-14
395bee8e-ef58-477a-9e7d-255a287cf6eb,494d5bf1-3827-49db-be58-1f99b34490b3,1995-08-27
05690061-1949-4939-adef-ee23dfddb640,2ef9b39e-a831-4511-981d-ae578b8e2662,2021-08-27
ccb857eb-69ee-4441-98b8-97166ccc36dc,eecfaced-1097-420c-a037-31d291cc2e87,2022-09-19
ab1c54de-1225-4586-8941-7d1ada6f83fb,5778a4f4-30a8-4101-a3bf-0f90270494fe,2004-07-20
9de081d4-57d5-4e31-ad79-dcb228b76745,9300d3a5-0729-4edd-b7c0-0c9d7d07860d,2011-01-18
2b8276ad-a35b-4ebb-8091-596e57e17256,83eddc34-dc27-4b8d-ae60-f39148b64014,2009-11-22
94539dfc-e0d4-420f-b48e-2fe5170aecf3,1745321d-7168-40b6-a1fa-2600d3d34df6,2017-11-27
d71d233b-30e9-4458-b936-883cef82c84d,070966d5-253a-4012-8c1a-5041278b1f95,2018-02-16
1df77618-b128-407b-af75-0ca2299a56f8,8c3ce5f2-fd3e-49ee-89e0-7b35643f207d,2002-11-10
e1da45ad-6184-4e50-be11-6d0074992b73,196c7a3c-d098-4cb9-9aa0-84ce360cc6f4,2015-04-21
1876d9e7-2cb2-4034-aebd-b1ea9dd3eda6,baaee0f5-d5c6-4a1f-93fa-6f0fa0ee1a36,1996-01-02
9de081d4-57d5-4e31-ad79-dcb228b76745,43a0c8ce-4953-4bc6-9632-6c754ba64f10,2004-05-26
1df77618-b128-407b-af75-0ca2299a56f8,4d64656d-e8c4-4cac-82c1-40de73cf9b83,2004-05-16
d5664677-e39e-4c0c-a661-559ade0b3d29,f5fa4f62-ead4-40f5-99d1-92d89adcd323,2007-03-12
1876d9e7-2cb2-4034-aebd-b1ea9dd3eda6,e2f5e05b-5bcd-46ba-94ff-7e74e099d831,2022-02-13
94539dfc-e0d4-420f-b48e-2fe5170aecf3,c8464d8d-0552-402c-97c7-ca645441c737,2016-06-15
d71d233b-30e9-4458-b936-883cef82c84d,5c7a08f8-b2d4-4300-af3f-fff6b1a65631,2007-10-08
6cf0ba77-2ddc-410d-9240-ffe179831b0b,a51fefda-e90c-47e2-b409-cc2fd96e1516,2001-12-09
94539dfc-e0d4-420f-b48e-2fe5170aecf3,36fa2ba3-0fe9-462c-b97f-b13fc11860c7,2001-02-17
1876d9e7-2cb2-4034-aebd-b1ea9dd3eda6,7007840d-d02f-4751-96a6-49390093ec02,2005-01-02
395bee8e-ef58-477a-9e7d-255a287cf6eb,8b1bc42b-d6ba-4e0b-bfb1-9acc1d3d144f,2019-05-14
05690061-1949-4939-adef-ee23dfddb640,1d4f477f-35bf-4573-981d-cfb44f3a9a5c,2013-10-08
